type	subtag	tag	preferredValue	suppressScript	macrolanguage	scope	deprecated	added	prefix	description
language	avu							2009-07-29		Avokaya
language	avv							2009-07-29		Avá-Canoeiro
language	awa							2005-10-16		Awadhi
language	awb							2009-07-29		Awa (Papua New Guinea)
language	awc							2009-07-29		Cicipu
language	awd					collection		2009-07-29		Arawakan languages
language	awe							2009-07-29		Awetí
language	awg							2012-08-12		Anguthimri
language	awh							2009-07-29		Awbono
language	awi							2009-07-29		Aekyom
language	awk							2009-07-29		Awabakal
language	awm							2009-07-29		Arawum
language	awn							2009-07-29		Awngi
language	awo							2009-07-29		Awak
language	awr							2009-07-29		Awera
language	aws							2009-07-29		South Awyu
language	awt							2009-07-29		Araweté
language	awu							2009-07-29		Central Awyu
language	awv							2009-07-29		Jair Awyu
language	aww							2009-07-29		Awun
language	awx							2009-07-29		Awara
language	awy							2009-07-29		Edera Awyu
language	axb							2009-07-29		Abipon
language	axe							2012-08-12		Ayerrerenge
language	axg							2009-07-29		Mato Grosso Arára
language	axk							2009-07-29		Yaka (Central African Republic)
language	axl							2013-09-10		Lower Southern Aranda
language	axm							2009-07-29		Middle Armenian
language	axx							2009-07-29		Xârâgurè
language	ay			Latn		macrolanguage		2005-10-16		Aymara
language	aya							2009-07-29		Awar
language	ayb							2009-07-29		Ayizo Gbe
language	ayc				ay			2009-07-29		Southern Aymara
language	ayd							2009-07-29		Ayabadhu
language	aye							2009-07-29		Ayere
language	ayg							2009-07-29		Ginyanga
language	ayh				ar			2009-07-29		Hadrami Arabic
language	ayi							2009-07-29		Leyigha
language	ayk							2009-07-29		Akuku
language	ayl				ar			2009-07-29		Libyan Arabic
language	ayn				ar			2009-07-29		Sanaani Arabic
language	ayo							2009-07-29		Ayoreo
language	ayp				ar			2009-07-29		North Mesopotamian Arabic
language	ayq							2009-07-29		Ayi (Papua New Guinea)
language	ayr				ay			2009-07-29		Central Aymara
language	ays							2009-07-29		Sorsogon Ayta
language	ayt							2009-07-29		Magbukun Ayta
language	ayu							2009-07-29		Ayu
language	ayx		nun				2011-08-16	2009-07-29		Ayi (China)
language	ayy						2020-03-28	2009-07-29		Tayabas Ayta
language	ayz							2009-07-29		Mai Brat
language	az					macrolanguage		2005-10-16		Azerbaijani
language	aza							2009-07-29		Azha
language	azb				az			2009-07-29		South Azerbaijani
language	azc					collection		2009-07-29		Uto-Aztecan languages
language	azd							2012-08-12		Eastern Durango Nahuatl
language	azg							2009-07-29		San Pedro Amuzgos Amuzgo
language	azj				az			2009-07-29		North Azerbaijani
language	azm							2009-07-29		Ipalapa Amuzgo
language	azn							2012-08-12		Western Durango Nahuatl
